Country Name,Country Code,Agricultural land (% of land area),Current account balance (% of GDP),Electricity production from coal sources (% of total),Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),CO2 emissions (kg per 2000 US$ of GDP),CO2 emissions (metric tons per capita),"PM10, country level (micrograms per cubic meter)",Population density (people per sq. km),Population in urban agglomerations of more than 1 million (% of total population),"Inflation, consumer prices (annual %)",Real interest rate (%),"Highest marginal tax rate, corporate rate (%)","Highest marginal tax rate, individual rate (%)",Tax revenue (% of GDP),Ease of doing business index (1=most business-friendly regulations),Cost to export (US$ per container),Cost to import (US$ per container),Rigidity of employment index (0=less rigid to 100=more rigid),Total tax rate (% of profit),Information and communication technology expenditure per capita (current US$),Mobile cellular subscriptions (per 100 people),Telephone lines (per 100 people),Fixed broadband Internet subscribers (per 100 people),Internet users (per 100 people),General government final consumption expenditure (% of GDP),"Household final consumption expenditure, etc. (% of GDP)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),GDP per capita (constant 2000 US$),GDP per capita growth (annual %),"Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Public spending on education, total (% of GDP)","Health expenditure, private (% of GDP)","Health expenditure, public (% of GDP)",Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),"Labor participation rate, total (% of total population ages 15+)",Labor force with primary education (% of total),Labor force with secondary education (% of total),Labor force with tertiary education (% of total),Long-term unemployment (% of total unemployment),"Unemployment, total (% of total labor force)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Population ages 15-64 (% of total),Researchers in R&D (per million people),Urban population (% of total),"Tariff rate, applied, weighted mean, all products (%)",High-technology exports (% of manufactured exports),GDP constant (2005 US$),GDP (current US$),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Mortality rate infant (per 1000 live births),Mortality rate under-5 (per 1000 live births),Population (Total),Population (ages 0-14 % of total),Population (ages 15-64 % of total),Arable land (% of land area),Cereal yield (kg per hectare),Land under cereal production (hectares),LFP Female 15-64 ILO ,LFP Male 15-64 ILO ,LFP Total 15-64 ILO ,LF Tertiary Female %,LF Tertiary Male %,LF Tertiary Total %,Tertiary Enroll Female,Tertiary Enroll Male,Tertiary Enroll Total,Year
France,FRA,54.10374861,1.761693903,4.379790768,53.13446205,7615.976415,0.285003699,6.512542786,15.63032773,108.080432,22.91168235,1.630257581,4.896926215,35.33,,22.95661525,31,,,52,,,62.50362146,57.58159853,1.016177578,26.4442687,22.79036993,55.98686869,28.11983823,20.07447309,26.97154994,22201.54705,1.311829178,17.30412733,27.97599893,5.572197958,,,4.1,26,69.8,54.9,26.89999962,46.90000153,26.20000076,37.6,8.600000381,79.1097561,75.5,65.0463602,2983.120374,75.98,3.02,23.19843178,2.00926E+12,1.3383E+12,19.55558798,0.416221281,4.3,5.2,61355725,18.81620598,65.05117035,33.68269213,6739.129,8938342,62,74.80000305,68.30000305,27.60000038,23.20000076,25.20000076,61.35785,50.5066,55.85262,2001
United Kingdom,GBR,70.07398834,-2.058671985,34.79588981,87.88814075,6143.107188,0.364542264,9.337053824,18.3486155,244.3214442,26.19899677,1.820851689,2.897561168,30,,28.21042289,6,,,10,,,78.30151937,58.50070735,0.559917699,33.49761432,19.04273518,65.8514936,27.0951667,17.45567747,29.44507295,25613.09001,2.087107165,15.07043935,24.92733036,4.706532612,,,1.4,24.8,73.5,61,17.5,47.40000153,26.79999924,27.8,4.699999809,78.11756098,75.82,65.31481114,2824.231715,89.46,3.02,33.68696137,2.04962E+12,1.48515E+12,17.74278592,-0.943627055,5.4,6.4,59107960,18.79607201,65.38994598,23.35799611,6291.742,3013315,68.19999695,82.5,75.30000305,27,26.5,26.70000076,64.68461,53.14783,58.87527,2001
Greece,GRC,65.95810706,-7.173784351,66.75521893,94.38651621,4681.299915,0.716426097,8.559745387,50.00247677,84.94918542,29.14258969,3.37396641,5.302190259,37.5,,21.8093683,100,,,47,,,72.72856954,51.21282746,0,10.95895415,17.36656744,72.58883041,24.02984677,23.20527714,37.19052175,11947.84141,3.888423426,13.16322435,18.24100701,3.501084036,,,16.1,23,60.8,52.1,41.20000076,37.5,20.10000038,52.8,10.39999962,77.98536585,75.4,68.18173327,1309.588281,59.84,3.02,9.857865742,2.05224E+11,1.29842E+11,25.15327835,3.925943184,6.4,7.3,10949957,14.96238422,67.82537079,21.10162917,3846.181,1284083,50,77,63.59999847,22.20000076,17.5,19.29999924,62.94551,54.88719,58.73001,2001
Hungary,HUN,65.44298148,-6.024678136,24.50363861,80.97843076,3426.722902,1.143990275,5.5976511,23.54136776,113.6752511,17.26720861,9.221616262,3.493003926,18,,21.51460566,41,,,22,,,48.75968533,36.73250634,0.235581065,14.52749899,10.28904078,66.50754421,71.24168604,24.4378319,72.47610948,4893.093258,4.339057799,19.76876365,19.70022986,4.982895479,,,6.2,34.2,59.5,48.8,18.20000076,65.19999695,16.5,46.6,5.699999809,72.19756098,68.1,68.27779499,1439.701199,64.94,3.02,24.08885753,93298922479,52720966883,25.24386089,-4.738152158,9.1,10.5,10187576,16.5633831,68.16817474,51.39477795,4884.898,3080085,52.20000076,67.19999695,59.5,18.39999962,14.69999981,16.39999962,44.55288,35.05168,39.68776,2001
Ireland,IRL,64.01509653,-0.659174259,28.67002273,92.58874818,5896.623518,0.428098458,11.31481333,22.79935672,56.12498186,25.79397121,4.872354846,-0.603851827,20,,24.15813241,7,,,10,,,76.8146491,48.10614388,0,23.1478488,14.58441071,47.0784935,99.98786214,22.67916809,84.32993445,26430.39964,4.122871592,11.88026866,17.28891288,4.267509853,,,7,29,63.5,59.3,30.89999962,40.59999847,25.79999924,33.1,3.700000048,77.1397561,74.53,67.5776553,2313.623283,59.38,3.02,47.32099533,1.676E+11,1.05167E+11,22.73692559,-1.763012772,5.8,6.9,3866243,21.39933968,67.43170166,17.24488315,7628.102,283890,56,79.30000305,67.69999695,30.29999924,21.89999962,25.29999924,57.53253,46.09707,51.72226,2001
Iceland,ISL,22.75311721,-4.236176709,0,24.30512662,26947.36842,0.232283706,7.366568421,21.03477251,2.842892768,,6.395392326,8.57825189,30,,23.66010317,11,,,21,,,87.06350877,68.95719298,3.65754386,49.12280702,23.55607347,56.2264872,38.79969193,21.27328446,39.85553707,31713.66839,2.463443001,21.17896895,22.2181355,6.236546073,,,7.8,22.7,68.7,80.1,42,28.10000038,29.60000038,12.5,2.299999952,79.40731707,77.7,65.31718899,6560.04911,92.2,3.4,3.223384872,13730769906,7922983043,21.27328289,-11.74138666,3,3.8,284968,23.03102112,65.34697723,1.286783042,,,83.09999847,89.80000305,86.5,20.79999924,19.5,20.10000038,60.28523,35.23033,47.63999,2001
Israel,ISR,25.92421442,-1.568432339,75.17917681,97.33608673,6400.217425,0.526844383,10.20275198,51.27514932,297.5508318,57.95791272,1.115838947,8.094439231,36,,28.39513091,29,,,17,,,85.42663457,47.10358751,0.681239323,16.76376767,27.20510096,54.73094387,32.90503333,20.53328181,35.37435997,19365.77918,-2.371025632,21.47551171,22.08421151,6.853515583,,,2,23.3,73.9,55.7,7.800000191,8.100000381,81.40000153,,9.300000191,79.40731707,77.7,61.88663334,,91.44,,24.51403143,1.20635E+11,1.22941E+11,19.95470466,-3.043518526,5.3,6.6,6439000,28.02482796,61.949543,15.80406654,2439.724,99044,56.29999924,66.90000153,61.5,47,37.09999847,41.59999847,60.67788,43.44743,51.78589,2001
Italy,ITA,52.70817041,-0.058348026,13.52549155,91.33713939,5405.865495,0.400394938,7.851074908,32.8198897,193.7394172,18.0345503,2.785165485,4.200119595,40.25,,22.83237367,74,,,38,,,89.93571508,48.00397328,0.684442276,27.37769104,18.96907543,59.07827834,27.09037879,20.58009779,25.71783035,19608.3271,1.760882948,23.7107139,30.13382635,4.856740555,,,5.2,31.7,62.9,47.8,46.70000076,40.20000076,11.89999962,63.4,9.600000381,79.67560976,76.7,67.04294788,1163.954942,67.28,3.02,9.379314529,1.73267E+12,1.1237E+12,20.71802603,2.06642687,4.5,5.3,56977217,14.25529003,67.17446136,28.35333719,4821.414,4134297,47.09999847,73.5,60.29999924,14.39999962,10.69999981,12.10000038,59.05477,44.95022,51.89096,2001
Japan,JPN,13.14951989,2.143768421,24.09281496,80.35474899,7819.094134,0.261211315,9.606354497,33.36959189,348.8312757,47.42225578,-0.758069775,3.239151069,42,,,13,,,12,,,58.84368733,48.23143241,3.016146411,38.45881603,17.50431016,57.10374735,10.56156708,24.75419398,9.923818567,36776.18059,-0.035442714,21.86735669,21.23190422,3.620072137,,,4.9,30.5,63.9,62,16.79999924,47.70000076,35.5,26.6,5,81.41707317,78.1,67.80821482,5325.918788,65.36,4.35,26.2477706,4.32341E+12,4.15986E+12,24.30385771,-1.649646504,3.1,4.3,127149000,14.42108631,67.86260223,12.1920439,6107.225,2006602,60,85.09999847,72.59999847,34.29999924,36.40000153,35.5,45.89591,53.74198,49.91419,2001
"Korea, Rep.",KOR,20.10543725,1.591919604,39.92631099,83.78149636,6310.957197,0.809303178,9.477409464,45.49627555,489.5286335,49.00530228,4.06504065,3.705369697,30.8,,14.70534,23,,,38,,,61.33326858,54.42701185,16.48330764,51.4813016,12.74302473,55.83277762,35.7406459,29.1619385,33.47838675,11710.57982,3.207240523,15.7296558,20.27532157,4.117307122,,,10,27.5,62.5,61,31.39999962,43.70000076,24.89999962,2.3,4,76.33756098,72.84,71.78870031,2919.011055,79.84,,29.55064172,7.05219E+11,5.04586E+11,29.1619385,-0.413042806,5.4,6.4,47357362,20.61403847,71.68367767,17.45916891,6560.468,1198104,52.79999924,75.80000305,64.40000153,19.39999962,28.70000076,24.89999962,62.34972,101.39908,82.73275,2001
Luxembourg,LUX,49.42084942,8.286492372,0,84.12329165,15208.65183,0.412600606,19.41851537,17.68789525,170.472973,,2.667458005,,37.45,,25.94064822,53,,,56,,,92.64798143,58.12943774,0.275182606,36.23803862,16.09760636,41.86192812,146.6221874,24.42861383,129.0103357,47063.71028,1.306779911,,,3.744779243,,,1.5,21.3,73.6,52.9,34.20000076,43.29999924,20.60000038,28.4,1.799999952,77.88292683,75.2,66.96704842,,83.6,3.02,18.86530087,32380863553,20196868009,24.4080638,5.524397084,3.6,4.5,441525,18.9509182,66.89666748,23.93822394,5142.333,28061,51.59999847,75.80000305,63.90000153,19.39999962,21.29999924,20.60000038,11.01203,9.44162,10.21577,2001
Netherlands,NLD,57.1978673,2.448571019,28.5143046,94.08969015,6659.815086,0.428516528,10.4815927,39.79447724,475.2989089,12.47015849,4.182357259,-0.094152516,35,,22.59392358,28,,,42,,,76.03097774,50.84104233,2.905380477,49.23317411,22.64417697,50.08453737,67.27610999,21.48410541,61.48892974,24460.18299,1.15934178,16.41411052,23.01036708,5.058108552,,,2.9,20.4,71.1,63.5,30.89999962,45.20000076,23.5,,2.700000048,78.19512195,75.8,67.76663634,2844.701734,77.48,3.02,32.34247364,6.09467E+11,4.00654E+11,21.48410541,1.035566909,5,6.1,16046180,18.58002663,67.78902435,26.80687204,7280.488,229600,67,84.30000305,75.69999695,23.29999924,24.10000038,23.79999924,56.02242,53.14749,54.56146,2001
Norway,NOR,3.440909688,16.11588342,0.079722733,53.74073932,25594.94793,0.23945268,9.10682207,16.96568196,14.83173393,,3.017377567,6.839446752,28,,26.87920452,10,,,44,,,79.61444715,51.8027033,1.961910038,29.23554177,20.62428793,43.43611469,45.76445763,18.99749298,28.82235324,38031.82353,1.492973318,,,6.952495532,,,4.1,21.7,74,67.4,10.89999962,56.09999847,32.20000076,5.5,3.400000095,78.8102439,76.22,65.10413364,4444.596184,76.34,0.7,18.95884312,2.78147E+11,1.70923E+11,18.99749298,-6.408502398,3.8,4.7,4513751,20.00815964,64.95277405,2.895359537,3718.281,328111,75.80000305,83.5,79.69999695,34.29999924,31.79999924,33,84.7729,56.2887,70.27974,2001
New Zealand,NZL,57.59217063,-2.737289176,5.495257899,72.20583028,8899.884036,0.646895445,8.791522742,17.56927461,14.49516268,27.89859554,2.509652493,5.019430438,33,,29.48942998,2,,,7,,,58.96147404,46.97848215,0.444968432,53.67981252,17.41786674,57.89562357,35.05459505,22.34754703,32.7156324,13590.33027,3.011994149,20.19371737,23.66364694,6.783164661,,,9.1,22.7,67.9,65.7,0.600000024,49.59999847,27.20000076,16.7,5.300000191,78.69268293,76.4,65.60804544,3356.695333,85.8,,9.90825642,97230329428,53273715302,21.93642382,6.843267108,5.9,7.2,3880500,22.54530907,65.66012573,5.696707303,6485.691,144773,68.19999695,83.30000305,75.69999695,31.20000076,24,27.20000076,78.87909,54.48533,66.55252,2001
Poland,POL,58.44586824,-3.122032539,95.22616737,95.58356457,3260.033263,1.745457541,7.910423102,39.37750853,125.6713521,4.363853492,5.491247883,14.37998296,28,,15.9884284,72,,,25,,,26.1572922,29.8054208,0.031374127,9.935140267,18.88603601,64.00780796,27.05604083,20.77092343,30.72080823,4532.005459,1.749524827,,,5.332566109,,,19.1,30.5,50.4,56.5,15.30000019,71.80000305,12.89999962,43.1,18.20000076,74.2,70.2,68.92656152,1462.902189,61.66,3.02,3.101466239,2.64242E+11,1.90421E+11,20.77096941,-13.39903555,7.6,8.8,38248076,18.6814537,68.80715942,44.63282405,3056.399,8820941,59,70.40000153,64.69999695,15,10.69999981,12.69999981,65.43929,45.78648,55.44863,2001
Portugal,PRT,41.47540984,-9.821394093,29.50528505,83.40519847,4147.601815,0.543314109,6.066123801,30.36558979,112.4911037,38.38387806,4.394757132,,35.2,,20.98690418,48,,,43,,,77.50497047,42.60644391,0.96489476,18.07453191,19.67064785,63.25938609,28.89247721,27.09135679,38.91386793,11165.04009,1.35090551,21.81077889,30.11110802,5.604033714,,,13.1,33.4,53.5,61.5,69.80000305,12.30000019,9.399999619,38.1,4.099999905,76.81707317,73.5,67.69374014,1723.265617,55.04,3.02,7.900189827,1.87736E+11,1.20332E+11,27.71628997,1.180367799,5.3,6.9,10362722,15.9950285,67.57666016,17.47540984,2632.267,493054,64.69999695,79.30000305,71.90000153,12.5,7.400000095,9.699999809,58.32981,42.66707,50.37983,2001
Slovak Republic,SVK,46.88149688,,19.6415118,73.08126714,5027.421964,1.324058617,7.311106733,19.27235094,111.8274428,,7.329630915,5.923978138,29,,,35,,,22,,,39.92137798,28.93256986,0,12.53116808,20.65243076,57.75700994,72.76835137,29.59449015,80.77228222,5521.739477,3.674005729,10.66783616,16.60827653,3.997249132,,,6.1,37.6,56.2,60.5,8.899999619,79.59999847,11.5,53.7,19.29999924,73.55121951,69.6,69.53853463,1781.558113,56.28,3.02,4.175631916,49949746300,30318731991,29.57182723,16.35147467,9.8,11.4,5378867,19.07922363,69.47833252,29.97920998,4086.925,835245,63.59999847,77.19999695,70.30000305,11.30000019,10.60000038,10.89999962,31.49157,28.73092,30.08351,2001
Slovenia,SVN,25.32274081,0.153508529,34.00387115,70.38027332,6006.526104,0.708451433,7.274658635,33.94867309,98.90764647,,8.422484628,5.875459649,25,,20.52865296,58,,,54,,,73.79944779,40.25486948,0.276104418,30.12048193,19.38644659,56.68889626,55.47757851,24.75374958,56.30667094,10268.39427,2.694269115,26.26393196,25.70501236,5.894367366,,,9.8,38.1,50.8,57.6,21,62.29999924,16.60000038,63.3,5.699999809,76.20243902,72.3,70.16677756,2262.191972,50.54,3.02,5.090525854,30779416299,20498926981,25.04299296,-2.929589604,4.3,5.2,1992060,15.46419334,70.12190247,8.589870904,4734.495,105516,62.59999847,72.5,67.59999847,17.70000076,11.5,14.30000019,70.02251,51.27056,60.33394,2001
Sweden,SWE,7.686496235,2.973289961,1.979664961,33.99358873,16024.51091,0.204733146,5.712692602,13.57114125,21.675237,13.67337531,2.405958341,3.172809065,28,,20.25495921,17,,,38,,,80.706094,63.71711266,6.599955026,51.72026085,26.43707957,49.06215179,46.53138885,17.74341236,39.77403258,27903.11541,0.773677888,22.02489856,25.74703155,7.122762852,,,2.3,23.8,73.8,63.6,18.5,56,24.89999962,22.3,5,79.75487805,77.55,64.60722971,5176.048837,84.06,3.02,17.12399215,3.28604E+11,2.27359E+11,18.21893793,-1.424859325,3.4,4.1,8895960,18.25463486,64.5138092,6.557976312,4583.339,1174253,76.09999847,80.40000153,78.30000305,28.70000076,20.89999962,24.60000038,84.77608,56.39696,70.29635,2001
United States,USA,45.2900702,-3.952688041,51.63634583,86.3995538,13040.67952,0.571640083,19.72874337,24.98116189,31.11596696,43.41561165,2.826171119,4.406711675,40,,12.70556476,4,,,0,,,45.07475042,67.19849026,4.487414849,50.09892171,14.77882869,70.01756667,10.25020097,18.84595917,13.8925555,34512.52622,-0.269656842,20.97008648,24.21376539,5.748487702,,,2.4,22.6,75,66.4,13.39999962,50.79999924,35.70000076,6.1,4.699999809,77.03414634,74.4,66.23191008,4535.156369,79.44,1.84,32.58824441,1.16684E+13,1.06253E+13,22.04455404,-4.339229969,7,8.3,284968955,21.19450951,66.47878265,19.1444588,5891.521,55161186,69.5,82.09999847,75.80000305,36.5,35,35.70000076,78.78539,58.98004,68.61805,2001
Australia,AUS,58.1856996,-3.979801061,76.88631279,93.76976026,10767.27358,0.760882041,17.09297373,18.06480843,2.558009971,60.3991166,3.00317105,4.862251941,30,,23.37487684,9,,,0,,,64.47377795,52.9224381,1.31339243,57.58848733,17.41692615,60.21346041,20.56127207,22.23473533,20.42639396,22464.68283,2.57035825,16.91097429,15.07957888,4.966332026,,,4.4,21,74.5,63.4,33.5,35.5,30.89999962,22.4,6.400000095,79.93658537,77.4,67.02444868,3723.278292,87.6,3.7,16.44539078,6.25752E+11,3.94442E+11,24.16688554,8.918317,5,6,19651400,20.36312675,67.02733612,6.221964776,1088.211,17486037,66.19999695,82.19999695,74.19999695,35.09999847,27.70000076,30.89999962,81.42607,66.88691,74.02367,2002
Austria,AUT,40.92177077,2.652808371,12.76119774,76.50705499,7416.585252,0.33316427,8.051731851,37.31057748,98.04292659,19.56863662,1.80209395,,34,,21.12585602,26,,,24,,,83.32880466,48.03529521,5.579170265,36.56423662,18.62560127,54.51974135,49.05868328,22.05794258,44.26196848,24167.45301,1.136573931,23.47827141,27.72962791,5.669521361,,,5.6,29.4,64.9,58.8,19.89999962,65,15.10000038,19.2,4.800000191,78.69317073,75.82,67.7218187,2984.324075,66.08,1.99,16.07805505,2.87823E+11,2.07537E+11,22.1406443,-5.005791192,4.4,5.3,8081957,16.65864563,67.71115875,16.79805943,5845.721,813416,63.59999847,79.80000305,71.69999695,17.70000076,17.60000038,17.60000038,49.43366,42.93339,46.12931,2002
Belgium,BEL,45.93791281,4.60979684,15.64140896,74.81459139,8311.719733,0.454035702,10.42713481,25.82073007,341.2483487,17.43429788,1.641900569,5.751538681,40.17,,26.03100294,20,,,17,,,78.4068228,47.72670086,7.891396497,46.03929159,22.53037526,53.51239669,82.558322,19.22309566,77.82418962,22965.45132,1.057060158,18.42275288,24.42944017,6.112072393,,,1.8,25.8,72.2,51,29.5,35.90000153,34.59999847,49.6,6.900000095,78.02682927,75.1,65.57178796,2986.901426,97.18,1.99,8.488877742,3.56224E+11,2.52795E+11,19.15903507,-5.104920297,4.4,5.4,10332785,17.36404228,65.48987579,27.47688243,8500.873,310474,56.20000076,73.09999847,64.69999695,38.20000076,29.20000076,33,63.77401,54.83601,59.24444,2002
Canada,CAN,7.424855749,1.71561881,19.60166878,75.86819726,16959.60079,0.6865761,16.62539124,20.26078253,3.448833289,42.41895287,2.258394409,3.082840454,38.6,,13.82178063,8,,,4,,,37.85472865,65.75473503,11.20783113,61.5008099,19.46630468,56.82497691,41.56326844,19.29517176,37.14972179,24214.9286,2.005287417,,,5.157502202,,,2.8,23,74.2,66.4,16.70000076,41.70000076,41.59999847,9.6,7.699999809,79.5902439,77.2,68.70825331,3703.028484,79.74,1.48,14.31395618,1.04753E+12,7.34662E+11,19.29517176,2.843207508,5.3,6.2,31362000,18.57718658,68.67067719,5.028421369,2375.445,15174800,72.09999847,82.69999695,77.40000153,46.20000076,37.59999847,41.59999847,,,,2002
Switzerland,CHE,39.075,9.411946925,0,55.75585073,8001.158728,0.160430989,5.592046432,28.16717101,182.1173719,14.98972872,0.642699253,3.445619499,24.5,,9.951441124,19,,,7,,,78.74458843,73.95735979,6.248991998,61.36404578,11.72110891,60.45296994,44.36089204,21.2712293,37.80620018,34856.39827,-0.313671854,24.21405534,29.08607776,5.749085337,,,4.1,24.7,71.1,67.6,15.80000019,59.70000076,24.20000076,21.8,2.900000095,80.29609756,77.74,67.51869156,,73.3,1.4,21.37661723,3.65723E+11,2.86658E+11,21.41714299,-1.577883139,4.6,5.5,7284753,17.05608177,67.45570374,10.225,6431.075,171200,73.80000305,88.59999847,81.19999695,16.10000038,31,24.20000076,35.63977,45.97916,40.85155,2002
Czech Republic,CZE,55.29959881,-5.665592714,66.42937035,88.15861855,5889.648778,2.063892897,11.9763003,24.56435657,132.0674647,11.440106,1.790880287,3.796682234,31,,15.75847903,66,,,11,,,84.37335648,36.01688334,0.149928666,23.89184832,22.29698365,51.22295929,60.22081356,28.56467535,62.30543184,5802.772186,2.088023603,11.75032791,22.42992969,4.322699916,,,4.8,39.6,55.5,59.5,8.600000381,78.90000153,12.5,50.7,7.300000191,75.3195122,72.1,70.36179472,1469.491131,73.8,1.99,14.30714811,1.12089E+11,78425201661,28.17225115,1.475988739,5.1,6,10196916,15.70430756,70.37015533,41.78853371,4328.462,1567203,62.90000153,79,71,11.10000038,13.39999962,12.39999962,36.19335,33.08895,34.60981,2002
Germany,DEU,48.6481062,2.038029353,52.6833736,83.26372166,6899.149173,0.431560656,10.06241121,21.83940889,236.5685122,7.696206428,1.40174557,8.160942665,38.36,,11.25243797,27,,,42,,,71.66335386,65.04823775,3.884471809,48.65376448,19.21443836,58.95258448,35.72728376,17.27339747,31.16770407,23316.33125,-0.212100645,16.39814528,22.24108743,4.701844922,,,2.5,32.4,65.1,57.9,17,59,24,47.9,8.5,78.22926829,75.4,67.59268596,3232.456543,73.22,1.99,16.90956007,2.72614E+12,2.00659E+12,18.07241347,-8.567315472,4.2,5.1,82488495,15.10448074,67.61295319,33.79865849,6251.468,6940982,64.59999847,78.90000153,71.80000305,18.70000076,24.89999962,22.10000038,,,,2002
Denmark,DNK,62.80933302,1.990104101,46.47302905,87.96096017,6535.045323,0.318480839,9.597942785,22.15040941,126.6616781,20.28629084,2.426314932,4.688853014,30,,29.42289747,5,,,7,,,83.31856229,68.86288425,8.397387173,64.21915224,26.24042333,47.51492821,47.22805607,20.40755075,41.39095836,30136.64122,0.107399397,24.62681639,35.78856877,8.43759584,,,3.2,23.4,73.1,66.2,22.39999962,50.90000153,26.60000038,19.7,4.300000191,77.09268293,74.8,66.44546174,4756.15112,85.42,1.99,21.67371654,2.44939E+11,1.73881E+11,20.40755075,1.430069168,4.4,5.4,5375931,18.71683884,66.43134308,53.64129154,5761.839,1527934,74.90000153,84.09999847,79.59999847,30.79999924,25.60000038,28,73.98426,53.36358,63.5351,2002
Spain,ESP,58.95118628,-3.240722527,34.12771664,81.36444044,5592.420962,0.508416717,7.606840014,39.8889652,82.78685075,23.76725779,3.066777271,-0.002686486,35,,12.78692167,51,,,49,,,81.16143821,42.69924323,3.019551507,20.36285565,17.19637524,58.29532396,27.3283544,26.63006064,29.45011423,14961.8212,1.228803562,18.20023167,23.39251253,4.249932941,,,6,31.2,62.8,53.2,51.09999847,19.89999962,28.5,40.2,11.39999962,79.16097561,75.6,68.58261112,2019.475608,76.46,1.99,6.926599164,1.02554E+12,6.86296E+11,26.63529231,3.420113725,5.2,6.2,41431558,14.51434898,68.56752777,25.86766592,3228.75,6724043,52.90000153,79.19999695,66.09999847,33.79999924,25,28.5,67.67543,56.85057,62.13234,2002
Finland,FIN,7.341015792,8.924198067,17.73140546,51.19209711,16129.87932,0.48030846,11.73472689,20.15650392,17.07408935,20.00510758,1.562144598,3.494492061,29,,22.9451769,14,,,41,,,86.8510309,52.40950346,5.259011735,62.41041321,21.11009123,51.17517802,40.38022919,18.33694927,31.00244771,24431.64731,1.327082483,17.72425843,26.08725386,6.205344148,,,5.3,26.7,67.6,63.3,24.29999924,44.29999924,31.39999962,24.4,9,78.12365854,74.87,66.87630684,7430.86106,61.62,1.99,24.20210555,1.79091E+11,1.35184E+11,19.14567757,-2.503697825,3.4,4.1,5200598,17.83234215,66.85999298,7.222824124,3294.954,1195100,72.69999695,77.59999847,75.19999695,35.09999847,27.39999962,31.10000038,93.97764,76.33201,84.96138,2002
France,FRA,53.96497891,1.235646665,4.873103595,52.60517293,7571.738593,0.278187659,6.378276547,15.4501289,108.8220961,22.91484967,1.916907283,4.121746727,34.33,,22.38034813,31,,,52,,,64.74195986,57.25667632,2.776910988,30.29769288,23.38793262,55.93169116,27.11863641,18.96639125,25.40465143,22270.61245,0.311083713,17.51544385,28.10496344,5.552372115,,,4.1,25.4,70.4,55.2,29.79999924,44,26.29999924,33.8,8.699999809,79.31219512,75.8,65.07202549,3115.741576,76.16,1.99,21.19663275,2.02792E+12,1.45203E+12,18.59131756,-3.132997771,4.2,5.1,61803229,18.71139336,65.05471802,33.68634397,7468.259,9327017,62.20000076,75.09999847,68.59999847,28.89999962,23.79999924,26.10000038,59.68346,47.88795,53.70435,2002
United Kingdom,GBR,70.16905717,-1.728112949,32.67870701,87.74279209,6147.183494,0.34388147,8.959336976,17.13338405,245.2265449,26.2053004,1.634458225,0.875544989,30,,27.05101695,6,,,10,,,82.97647617,58.55211746,2.286422633,56.5377113,19.76423532,65.76884314,26.08268778,17.07699402,28.69276026,26053.56134,1.719711816,16.22174238,26.60461421,5.268529658,,,1.4,24.1,74.3,61.3,16.60000038,47.79999924,27.29999924,22.9,5,78.22365854,75.97,65.48559472,2936.977698,89.52,1.99,31.3697985,2.09667E+12,1.6209E+12,17.40916257,0.116513723,5.3,6.3,59362051,18.56840706,65.59719849,23.91600876,7075.605,3245800,68.59999847,82.19999695,75.40000153,28,26.29999924,27.10000038,69.39519,55.06557,62.15572,2002
Greece,GRC,65.52366175,-6.500897332,64.07637408,94.07153702,4871.422656,0.691603267,8.518115139,46.81236569,85.24088441,29.14515065,3.629362936,3.880858872,35,,21.4143509,100,,,47,,,84.77103631,57.28125014,0,15.08650814,18.29733626,72.94243321,21.07325881,22.30781805,34.62084633,12316.47615,3.085366863,13.88529417,,3.551964856,,,15.5,22.8,61.7,52.5,40.20000076,37.70000076,21,52.7,9.899999619,78.69268293,76.4,68.05259724,,59.98,1.99,11.59801593,2.12283E+11,1.4605E+11,24.18051791,1.261877487,6,6.8,10987543,14.76047707,67.63909912,21.07835531,3745.957,1288585,51.29999924,77.5,64.40000153,23.5,18.10000038,20.20000076,71.67888,62.09309,66.66192,2002
Hungary,HUN,65.2644499,-7.057464251,25.06568576,80.7859068,3545.170756,1.093100753,5.599907389,20.65944136,113.3520196,17.02505895,5.29520815,2.205215652,18,,21.12417864,41,,,22,,,67.78597028,36.11912183,1.097177881,16.6651179,10.49242996,67.19131275,63.09875604,24.2786855,65.06119008,5122.9563,4.697704095,20.2673974,20.82644152,5.265426628,,,6.2,34.1,59.6,48.8,17.39999962,64,18.60000038,44.8,5.599999905,72.34878049,68.3,68.42278467,1473.163615,65.28,1.99,24.8105873,97503072960,66389489264,24.67003691,3.898086224,8.5,9.8,10158608,16.29489326,68.33638,51.39477795,3963.229,2952970,52.59999847,66.90000153,59.59999847,19,14.80000019,16.70000076,50.42325,38.96418,44.56082,2002
